"pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name"
2502,3,"turk18-color-ggplot","k-3-sdline-0.35-sdgroup-0.30","","5, 1","Images/Lineups/svgs/2b8365b64e3c6a5001ef2a10ea309b08.svg","turk18",25,"set-25-k-3-sd.trend-0.35-sd.group-0.30-ggplot"
2602,3,"turk18-color-ggplot","k-3-sdline-0.35-sdgroup-0.30","","8, 5","Images/Lineups/svgs/bdc9ee59387ef13198bda8de84d3be8b.svg","turk18",26,"set-26-k-3-sd.trend-0.35-sd.group-0.30-ggplot"
2702,3,"turk18-color-ggplot","k-3-sdline-0.35-sdgroup-0.30","","9, 2","Images/Lineups/svgs/67069889c30307d03aa44f7257f3997b.svg","turk18",27,"set-27-k-3-sd.trend-0.35-sd.group-0.30-ggplot"
2802,5,"turk18-color-ggplot","k-5-sdline-0.35-sdgroup-0.25","","7, 13","Images/Lineups/svgs/70aab9471172ff56b9edf039c9093253.svg","turk18",28,"set-28-k-5-sd.trend-0.35-sd.group-0.25-ggplot"
2902,5,"turk18-color-ggplot","k-5-sdline-0.35-sdgroup-0.25","","18, 14","Images/Lineups/svgs/6b5a95bc5527ecd250607fb72c860f44.svg","turk18",29,"set-29-k-5-sd.trend-0.35-sd.group-0.25-ggplot"
3002,5,"turk18-color-ggplot","k-5-sdline-0.35-sdgroup-0.25","","18, 12","Images/Lineups/svgs/95d1dc7b3036d9e6900ea2b6277e4d70.svg","turk18",30,"set-30-k-5-sd.trend-0.35-sd.group-0.25-ggplot"
3102,3,"turk18-color-ggplot","k-3-sdline-0.45-sdgroup-0.30","","19, 11","Images/Lineups/svgs/4ae21596d7fa5aea62a43259f2638d5c.svg","turk18",31,"set-31-k-3-sd.trend-0.45-sd.group-0.30-ggplot"
3202,3,"turk18-color-ggplot","k-3-sdline-0.45-sdgroup-0.30","","5, 18","Images/Lineups/svgs/9611c64eb14cf225645c055b4a29a30e.svg","turk18",32,"set-32-k-3-sd.trend-0.45-sd.group-0.30-ggplot"
3302,3,"turk18-color-ggplot","k-3-sdline-0.45-sdgroup-0.30","","16, 18","Images/Lineups/svgs/e799c0172f5f0fbdcc664caa91791692.svg","turk18",33,"set-33-k-3-sd.trend-0.45-sd.group-0.30-ggplot"
3402,5,"turk18-color-ggplot","k-5-sdline-0.45-sdgroup-0.25","","3, 6","Images/Lineups/svgs/3920acc69b9b6cf048de7df3986ffd66.svg","turk18",34,"set-34-k-5-sd.trend-0.45-sd.group-0.25-ggplot"
3502,5,"turk18-color-ggplot","k-5-sdline-0.45-sdgroup-0.25","","8, 14","Images/Lineups/svgs/380328075b334daabfe032a02ec812a3.svg","turk18",35,"set-35-k-5-sd.trend-0.45-sd.group-0.25-ggplot"
3602,5,"turk18-color-ggplot","k-5-sdline-0.45-sdgroup-0.25","","11, 15","Images/Lineups/svgs/0d78e090f63aa6d3bbf3ff490b97c412.svg","turk18",36,"set-36-k-5-sd.trend-0.45-sd.group-0.25-ggplot"
4302,3,"turk18-color-ggplot","k-3-sdline-0.35-sdgroup-0.35","","20, 2","Images/Lineups/svgs/1393affad36ba8a7d5b4988c81b0f82f.svg","turk18",43,"set-43-k-3-sd.trend-0.35-sd.group-0.35-ggplot"
4402,3,"turk18-color-ggplot","k-3-sdline-0.35-sdgroup-0.35","","18, 16","Images/Lineups/svgs/91e0349a3a5d8d9bb9d47e3f1a35dc37.svg","turk18",44,"set-44-k-3-sd.trend-0.35-sd.group-0.35-ggplot"
4502,3,"turk18-color-ggplot","k-3-sdline-0.35-sdgroup-0.35","","2, 7","Images/Lineups/svgs/2669c35501f3f05f6078d0bec9c48e6f.svg","turk18",45,"set-45-k-3-sd.trend-0.35-sd.group-0.35-ggplot"
4602,5,"turk18-color-ggplot","k-5-sdline-0.35-sdgroup-0.30","","4, 19","Images/Lineups/svgs/34e4ae628755881c05c6a13056480f0b.svg","turk18",46,"set-46-k-5-sd.trend-0.35-sd.group-0.30-ggplot"
4702,5,"turk18-color-ggplot","k-5-sdline-0.35-sdgroup-0.30","","7, 5","Images/Lineups/svgs/d4a4d6aebc675b8405131064701f50a5.svg","turk18",47,"set-47-k-5-sd.trend-0.35-sd.group-0.30-ggplot"
4802,5,"turk18-color-ggplot","k-5-sdline-0.35-sdgroup-0.30","","12, 5","Images/Lineups/svgs/3aae78f3bdfbe5b76ec29b7522f63ac7.svg","turk18",48,"set-48-k-5-sd.trend-0.35-sd.group-0.30-ggplot"
4902,3,"turk18-color-ggplot","k-3-sdline-0.45-sdgroup-0.35","","17, 4","Images/Lineups/svgs/c279251214e74498d2bd6b6866d74bc8.svg","turk18",49,"set-49-k-3-sd.trend-0.45-sd.group-0.35-ggplot"
5002,3,"turk18-color-ggplot","k-3-sdline-0.45-sdgroup-0.35","","9, 1","Images/Lineups/svgs/ba43c1f79c52d1006fa5a41a80785ff4.svg","turk18",50,"set-50-k-3-sd.trend-0.45-sd.group-0.35-ggplot"
5102,3,"turk18-color-ggplot","k-3-sdline-0.45-sdgroup-0.35","","8, 6","Images/Lineups/svgs/6bbe7ab1633d8c09d86f9940468bc014.svg","turk18",51,"set-51-k-3-sd.trend-0.45-sd.group-0.35-ggplot"
5202,5,"turk18-color-ggplot","k-5-sdline-0.45-sdgroup-0.30","","13, 2","Images/Lineups/svgs/181c020c571836c220014b52ef0ea410.svg","turk18",52,"set-52-k-5-sd.trend-0.45-sd.group-0.30-ggplot"
5302,5,"turk18-color-ggplot","k-5-sdline-0.45-sdgroup-0.30","","14, 11","Images/Lineups/svgs/e118cd312e06403b23690af3dcec4d50.svg","turk18",53,"set-53-k-5-sd.trend-0.45-sd.group-0.30-ggplot"
5402,5,"turk18-color-ggplot","k-5-sdline-0.45-sdgroup-0.30","","8, 13","Images/Lineups/svgs/21594d5e6f2d0a74b959c368914c98eb.svg","turk18",54,"set-54-k-5-sd.trend-0.45-sd.group-0.30-ggplot"
2512,3,"turk18-colorEllipse-ggplot","k-3-sdline-0.35-sdgroup-0.30","","5, 1","Images/Lineups/svgs/baf5739463239bfaddd601b7114c8f49.svg","turk18",25,"set-25-k-3-sd.trend-0.35-sd.group-0.30-ggplot"
2612,3,"turk18-colorEllipse-ggplot","k-3-sdline-0.35-sdgroup-0.30","","8, 5","Images/Lineups/svgs/75ff8cc3270c317daf8d4982601f6eda.svg","turk18",26,"set-26-k-3-sd.trend-0.35-sd.group-0.30-ggplot"
2712,3,"turk18-colorEllipse-ggplot","k-3-sdline-0.35-sdgroup-0.30","","9, 2","Images/Lineups/svgs/d292e5697e4d42d8cd5b689046583a6e.svg","turk18",27,"set-27-k-3-sd.trend-0.35-sd.group-0.30-ggplot"
2812,5,"turk18-colorEllipse-ggplot","k-5-sdline-0.35-sdgroup-0.25","","7, 13","Images/Lineups/svgs/aa2403ad39b3a4bda70b4c833f52fbc9.svg","turk18",28,"set-28-k-5-sd.trend-0.35-sd.group-0.25-ggplot"
2912,5,"turk18-colorEllipse-ggplot","k-5-sdline-0.35-sdgroup-0.25","","18, 14","Images/Lineups/svgs/9aa01623e876b45c4fe161aa46a8f299.svg","turk18",29,"set-29-k-5-sd.trend-0.35-sd.group-0.25-ggplot"
3012,5,"turk18-colorEllipse-ggplot","k-5-sdline-0.35-sdgroup-0.25","","18, 12","Images/Lineups/svgs/bb599cbb21c6d3cffc7ecac14f837be9.svg","turk18",30,"set-30-k-5-sd.trend-0.35-sd.group-0.25-ggplot"
3112,3,"turk18-colorEllipse-ggplot","k-3-sdline-0.45-sdgroup-0.30","","19, 11","Images/Lineups/svgs/b11c0981664d8c8e13794d9cc6230dad.svg","turk18",31,"set-31-k-3-sd.trend-0.45-sd.group-0.30-ggplot"
3212,3,"turk18-colorEllipse-ggplot","k-3-sdline-0.45-sdgroup-0.30","","5, 18","Images/Lineups/svgs/168eb29401f84a441634ad60db49dc86.svg","turk18",32,"set-32-k-3-sd.trend-0.45-sd.group-0.30-ggplot"
3312,3,"turk18-colorEllipse-ggplot","k-3-sdline-0.45-sdgroup-0.30","","16, 18","Images/Lineups/svgs/712e56c7ac2d3c9b9a6ddcee68e11662.svg","turk18",33,"set-33-k-3-sd.trend-0.45-sd.group-0.30-ggplot"
3412,5,"turk18-colorEllipse-ggplot","k-5-sdline-0.45-sdgroup-0.25","","3, 6","Images/Lineups/svgs/80c751e367c98c97259394e1a999f483.svg","turk18",34,"set-34-k-5-sd.trend-0.45-sd.group-0.25-ggplot"
3512,5,"turk18-colorEllipse-ggplot","k-5-sdline-0.45-sdgroup-0.25","","8, 14","Images/Lineups/svgs/77b815ce2dae44ac1e6398113dc26e5e.svg","turk18",35,"set-35-k-5-sd.trend-0.45-sd.group-0.25-ggplot"
3612,5,"turk18-colorEllipse-ggplot","k-5-sdline-0.45-sdgroup-0.25","","11, 15","Images/Lineups/svgs/264a1a5e663ba8e54e025e2adb89ffa2.svg","turk18",36,"set-36-k-5-sd.trend-0.45-sd.group-0.25-ggplot"
4312,3,"turk18-colorEllipse-ggplot","k-3-sdline-0.35-sdgroup-0.35","","20, 2","Images/Lineups/svgs/fa58716198ce24085d0c0892dce991b1.svg","turk18",43,"set-43-k-3-sd.trend-0.35-sd.group-0.35-ggplot"
4412,3,"turk18-colorEllipse-ggplot","k-3-sdline-0.35-sdgroup-0.35","","18, 16","Images/Lineups/svgs/562b16425ebf82018c54f352ff30f591.svg","turk18",44,"set-44-k-3-sd.trend-0.35-sd.group-0.35-ggplot"
4512,3,"turk18-colorEllipse-ggplot","k-3-sdline-0.35-sdgroup-0.35","","2, 7","Images/Lineups/svgs/ff2307f6a0705be776669a693d4cfa6f.svg","turk18",45,"set-45-k-3-sd.trend-0.35-sd.group-0.35-ggplot"
4612,5,"turk18-colorEllipse-ggplot","k-5-sdline-0.35-sdgroup-0.30","","4, 19","Images/Lineups/svgs/e98f0f6db9dd18f550c03c7ad30c0a63.svg","turk18",46,"set-46-k-5-sd.trend-0.35-sd.group-0.30-ggplot"
4712,5,"turk18-colorEllipse-ggplot","k-5-sdline-0.35-sdgroup-0.30","","7, 5","Images/Lineups/svgs/1249968be9bed7e710ddab4758f755d1.svg","turk18",47,"set-47-k-5-sd.trend-0.35-sd.group-0.30-ggplot"
4812,5,"turk18-colorEllipse-ggplot","k-5-sdline-0.35-sdgroup-0.30","","12, 5","Images/Lineups/svgs/7f33d4b496c7b410bf892d9a4c954cdb.svg","turk18",48,"set-48-k-5-sd.trend-0.35-sd.group-0.30-ggplot"
4912,3,"turk18-colorEllipse-ggplot","k-3-sdline-0.45-sdgroup-0.35","","17, 4","Images/Lineups/svgs/6303b7b3863c69a744f6776ca0dfb8a2.svg","turk18",49,"set-49-k-3-sd.trend-0.45-sd.group-0.35-ggplot"
5012,3,"turk18-colorEllipse-ggplot","k-3-sdline-0.45-sdgroup-0.35","","9, 1","Images/Lineups/svgs/ea5dbbaa984dedc6bdd51989d335a063.svg","turk18",50,"set-50-k-3-sd.trend-0.45-sd.group-0.35-ggplot"
5112,3,"turk18-colorEllipse-ggplot","k-3-sdline-0.45-sdgroup-0.35","","8, 6","Images/Lineups/svgs/c5eebae750be6ae81f28872fc5c5db92.svg","turk18",51,"set-51-k-3-sd.trend-0.45-sd.group-0.35-ggplot"
5212,5,"turk18-colorEllipse-ggplot","k-5-sdline-0.45-sdgroup-0.30","","13, 2","Images/Lineups/svgs/e7fef4fe077f899f29337e824e519043.svg","turk18",52,"set-52-k-5-sd.trend-0.45-sd.group-0.30-ggplot"
5312,5,"turk18-colorEllipse-ggplot","k-5-sdline-0.45-sdgroup-0.30","","14, 11","Images/Lineups/svgs/97a07943c43255f50162a7549dba2bc3.svg","turk18",53,"set-53-k-5-sd.trend-0.45-sd.group-0.30-ggplot"
5412,5,"turk18-colorEllipse-ggplot","k-5-sdline-0.45-sdgroup-0.30","","8, 13","Images/Lineups/svgs/e097bdf05883194e8cac231f8b5005fd.svg","turk18",54,"set-54-k-5-sd.trend-0.45-sd.group-0.30-ggplot"
2532,3,"turk18-colorTrend-ggplot","k-3-sdline-0.35-sdgroup-0.30","","5, 1","Images/Lineups/svgs/81308fbf7d1f8b4ebc114d919d3a9b27.svg","turk18",25,"set-25-k-3-sd.trend-0.35-sd.group-0.30-ggplot"
2632,3,"turk18-colorTrend-ggplot","k-3-sdline-0.35-sdgroup-0.30","","8, 5","Images/Lineups/svgs/c916d9747db8553de3969382d6825d2e.svg","turk18",26,"set-26-k-3-sd.trend-0.35-sd.group-0.30-ggplot"
2732,3,"turk18-colorTrend-ggplot","k-3-sdline-0.35-sdgroup-0.30","","9, 2","Images/Lineups/svgs/e294b265ec20073e17ba6d865fcf86a3.svg","turk18",27,"set-27-k-3-sd.trend-0.35-sd.group-0.30-ggplot"
2832,5,"turk18-colorTrend-ggplot","k-5-sdline-0.35-sdgroup-0.25","","7, 13","Images/Lineups/svgs/3d75a046694a59df972c3184f054a889.svg","turk18",28,"set-28-k-5-sd.trend-0.35-sd.group-0.25-ggplot"
2932,5,"turk18-colorTrend-ggplot","k-5-sdline-0.35-sdgroup-0.25","","18, 14","Images/Lineups/svgs/92339da3d11948709a38fff4da937a7f.svg","turk18",29,"set-29-k-5-sd.trend-0.35-sd.group-0.25-ggplot"
3032,5,"turk18-colorTrend-ggplot","k-5-sdline-0.35-sdgroup-0.25","","18, 12","Images/Lineups/svgs/08561541f026268934045d2140208493.svg","turk18",30,"set-30-k-5-sd.trend-0.35-sd.group-0.25-ggplot"
3132,3,"turk18-colorTrend-ggplot","k-3-sdline-0.45-sdgroup-0.30","","19, 11","Images/Lineups/svgs/e6a19c816a72884a8fc3b94190d08f51.svg","turk18",31,"set-31-k-3-sd.trend-0.45-sd.group-0.30-ggplot"
3232,3,"turk18-colorTrend-ggplot","k-3-sdline-0.45-sdgroup-0.30","","5, 18","Images/Lineups/svgs/2257f365b5dda58f86a2c3a107d6e478.svg","turk18",32,"set-32-k-3-sd.trend-0.45-sd.group-0.30-ggplot"
3332,3,"turk18-colorTrend-ggplot","k-3-sdline-0.45-sdgroup-0.30","","16, 18","Images/Lineups/svgs/2fcb2dd325e374214594df87264f6f8f.svg","turk18",33,"set-33-k-3-sd.trend-0.45-sd.group-0.30-ggplot"
3432,5,"turk18-colorTrend-ggplot","k-5-sdline-0.45-sdgroup-0.25","","3, 6","Images/Lineups/svgs/a942eb4d280182e717d40474146f8f1e.svg","turk18",34,"set-34-k-5-sd.trend-0.45-sd.group-0.25-ggplot"
3532,5,"turk18-colorTrend-ggplot","k-5-sdline-0.45-sdgroup-0.25","","8, 14","Images/Lineups/svgs/7009e862fd1782fc40a415afd54f299d.svg","turk18",35,"set-35-k-5-sd.trend-0.45-sd.group-0.25-ggplot"
3632,5,"turk18-colorTrend-ggplot","k-5-sdline-0.45-sdgroup-0.25","","11, 15","Images/Lineups/svgs/a26adfd84cbdbe130f90f0dac56e6dfb.svg","turk18",36,"set-36-k-5-sd.trend-0.45-sd.group-0.25-ggplot"
4332,3,"turk18-colorTrend-ggplot","k-3-sdline-0.35-sdgroup-0.35","","20, 2","Images/Lineups/svgs/83dbe920f5401b4c5d3bb7698336fd5c.svg","turk18",43,"set-43-k-3-sd.trend-0.35-sd.group-0.35-ggplot"
4432,3,"turk18-colorTrend-ggplot","k-3-sdline-0.35-sdgroup-0.35","","18, 16","Images/Lineups/svgs/5a00b2191b5ca59a80c74b39f7cce13c.svg","turk18",44,"set-44-k-3-sd.trend-0.35-sd.group-0.35-ggplot"
4532,3,"turk18-colorTrend-ggplot","k-3-sdline-0.35-sdgroup-0.35","","2, 7","Images/Lineups/svgs/8ee437a81b47c270589cae51d99d6249.svg","turk18",45,"set-45-k-3-sd.trend-0.35-sd.group-0.35-ggplot"
4632,5,"turk18-colorTrend-ggplot","k-5-sdline-0.35-sdgroup-0.30","","4, 19","Images/Lineups/svgs/89a77744bf0dfa054e4db150ca75e202.svg","turk18",46,"set-46-k-5-sd.trend-0.35-sd.group-0.30-ggplot"
4732,5,"turk18-colorTrend-ggplot","k-5-sdline-0.35-sdgroup-0.30","","7, 5","Images/Lineups/svgs/f384a433f74389a87eaa031bff097374.svg","turk18",47,"set-47-k-5-sd.trend-0.35-sd.group-0.30-ggplot"
4832,5,"turk18-colorTrend-ggplot","k-5-sdline-0.35-sdgroup-0.30","","12, 5","Images/Lineups/svgs/c684959fd93165c9cda5e98363d4def1.svg","turk18",48,"set-48-k-5-sd.trend-0.35-sd.group-0.30-ggplot"
4932,3,"turk18-colorTrend-ggplot","k-3-sdline-0.45-sdgroup-0.35","","17, 4","Images/Lineups/svgs/5cba53d7e2661036c4f9d67c44515e87.svg","turk18",49,"set-49-k-3-sd.trend-0.45-sd.group-0.35-ggplot"
5032,3,"turk18-colorTrend-ggplot","k-3-sdline-0.45-sdgroup-0.35","","9, 1","Images/Lineups/svgs/6318853354b4f642d21ad0ca36ffd2d1.svg","turk18",50,"set-50-k-3-sd.trend-0.45-sd.group-0.35-ggplot"
5132,3,"turk18-colorTrend-ggplot","k-3-sdline-0.45-sdgroup-0.35","","8, 6","Images/Lineups/svgs/e635a3e6e1ce9c1341c128f266a93af9.svg","turk18",51,"set-51-k-3-sd.trend-0.45-sd.group-0.35-ggplot"
5232,5,"turk18-colorTrend-ggplot","k-5-sdline-0.45-sdgroup-0.30","","13, 2","Images/Lineups/svgs/698fcb7f6df3d87e4a2a94a38a143350.svg","turk18",52,"set-52-k-5-sd.trend-0.45-sd.group-0.30-ggplot"
5332,5,"turk18-colorTrend-ggplot","k-5-sdline-0.45-sdgroup-0.30","","14, 11","Images/Lineups/svgs/8ab339d423d5f945d054831a64d67001.svg","turk18",53,"set-53-k-5-sd.trend-0.45-sd.group-0.30-ggplot"
5432,5,"turk18-colorTrend-ggplot","k-5-sdline-0.45-sdgroup-0.30","","8, 13","Images/Lineups/svgs/7c81cc1a89bcd1d9b430794f104b3698.svg","turk18",54,"set-54-k-5-sd.trend-0.45-sd.group-0.30-ggplot"
2522,3,"turk18-colorEllipseTrendError-ggplot","k-3-sdline-0.35-sdgroup-0.30","","5, 1","Images/Lineups/svgs/dbb94924006f58ef13c64c5280188ea5.svg","turk18",25,"set-25-k-3-sd.trend-0.35-sd.group-0.30-ggplot"
2622,3,"turk18-colorEllipseTrendError-ggplot","k-3-sdline-0.35-sdgroup-0.30","","8, 5","Images/Lineups/svgs/063751358a54c33a52f876c750e115aa.svg","turk18",26,"set-26-k-3-sd.trend-0.35-sd.group-0.30-ggplot"
2722,3,"turk18-colorEllipseTrendError-ggplot","k-3-sdline-0.35-sdgroup-0.30","","9, 2","Images/Lineups/svgs/0b71de4ceba502f50a84b7ee4fc7ab56.svg","turk18",27,"set-27-k-3-sd.trend-0.35-sd.group-0.30-ggplot"
2822,5,"turk18-colorEllipseTrendError-ggplot","k-5-sdline-0.35-sdgroup-0.25","","7, 13","Images/Lineups/svgs/923ce5083d84d39b32d8b552cb44668c.svg","turk18",28,"set-28-k-5-sd.trend-0.35-sd.group-0.25-ggplot"
2922,5,"turk18-colorEllipseTrendError-ggplot","k-5-sdline-0.35-sdgroup-0.25","","18, 14","Images/Lineups/svgs/14d142925901ab829918f9e361386c6c.svg","turk18",29,"set-29-k-5-sd.trend-0.35-sd.group-0.25-ggplot"
3022,5,"turk18-colorEllipseTrendError-ggplot","k-5-sdline-0.35-sdgroup-0.25","","18, 12","Images/Lineups/svgs/65380d0aecbc42eafeddf75f1b1a7151.svg","turk18",30,"set-30-k-5-sd.trend-0.35-sd.group-0.25-ggplot"
3122,3,"turk18-colorEllipseTrendError-ggplot","k-3-sdline-0.45-sdgroup-0.30","","19, 11","Images/Lineups/svgs/5474c0711577ec6e607b38ce140b693b.svg","turk18",31,"set-31-k-3-sd.trend-0.45-sd.group-0.30-ggplot"
3222,3,"turk18-colorEllipseTrendError-ggplot","k-3-sdline-0.45-sdgroup-0.30","","5, 18","Images/Lineups/svgs/fdb2969a6db61b25234b58c02f7a6f59.svg","turk18",32,"set-32-k-3-sd.trend-0.45-sd.group-0.30-ggplot"
